int_id,age,t_age,b_age,age_color,epoch,t_epoch,b_epoch,epoch_color,period,t_period,b_period,period_color,era,era_color,eon,eon_color
1,Meghalayan,0,0.0042,#FEF2E0,Holocene,0,0.0117,#FEF2E0,Quaternary,0,2.588,#F9F97F,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
2,Northgrippian,0.0042,0.0082,#FEF2E0,Holocene,0,0.0117,#FEF2E0,Quaternary,0,2.588,#F9F97F,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
3,Greenlandian,0.0082,0.0117,#FEF2E0,Holocene,0,0.0117,#FEF2E0,Quaternary,0,2.588,#F9F97F,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
4,Late Pleistocene (Tarantian),0.0117,0.126,#FFF2C7,Pleistocene,0.0117,2.588,#FFF2AE,Quaternary,0,2.588,#F9F97F,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
5,Middle Pleistocene,0.126,0.781,#FFF2C7,Pleistocene,0.0117,2.588,#FFF2AE,Quaternary,0,2.588,#F9F97F,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
6,Calabrian,0.781,1.806,#FFF2C7,Pleistocene,0.0117,2.588,#FFF2AE,Quaternary,0,2.588,#F9F97F,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
7,Gelasian,1.806,2.588,#FFEDB3,Pleistocene,0.0117,2.588,#FFF2AE,Quaternary,0,2.588,#F9F97F,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
8,Piacenzian,2.588,3.6,#FFFFBF,Pliocene,2.588,5.333,#FFFF99,Neogene,2.588,23.03,#FFE619,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
9,Zanclean,3.6,5.333,#FFFFB3,Pliocene,2.588,5.333,#FFFF99,Neogene,2.588,23.03,#FFE619,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
10,Messinian,5.333,7.246,#FFFF73,Miocene,5.333,23.03,#FFFF00,Neogene,2.588,23.03,#FFE619,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
11,Tortonian,7.246,11.62,#FFFF66,Miocene,5.333,23.03,#FFFF00,Neogene,2.588,23.03,#FFE619,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
