int_id,age,t_age,b_age,age_color,epoch,t_epoch,b_epoch,epoch_color,period,t_period,b_period,period_color,era,era_color,eon,eon_color
12,Serravallian,11.62,13.82,#FFFF59,Miocene,5.333,23.03,#FFFF00,Neogene,2.588,23.03,#FFE619,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
13,Langhian,13.82,15.97,#FFFF4D,Miocene,5.333,23.03,#FFFF00,Neogene,2.588,23.03,#FFE619,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
14,Burdigalian,15.97,20.44,#FFFF41,Miocene,5.333,23.03,#FFFF00,Neogene,2.588,23.03,#FFE619,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
15,Aquitanian,20.44,23.03,#FFFF33,Miocene,5.333,23.03,#FFFF00,Neogene,2.588,23.03,#FFE619,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
16,Chattian,23.03,28.1,#FEE6AA,Oligocene,23.03,33.9,#FDC07A,Paleogene,23.03,66,#FD9A52,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
17,Rupelian,28.1,33.9,#FED99A,Oligocene,23.03,33.9,#FDC07A,Paleogene,23.03,66,#FD9A52,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
18,Priabonian,33.9,37.8,#FDCDA1,Eocene,33.9,56,#FDB46C,Paleogene,23.03,66,#FD9A52,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
19,Bartonian,37.8,41.3,#FDC091,Eocene,33.9,56,#FDB46C,Paleogene,23.03,66,#FD9A52,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
20,Lutetian,41.3,47.8,#FCB482,Eocene,33.9,56,#FDB46C,Paleogene,23.03,66,#FD9A52,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
21,Ypresian,47.8,56,#FCA773,Eocene,33.9,56,#FDB46C,Paleogene,23.03,66,#FD9A52,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
22,Thanetian,56,59.2,#FDBF6F,Paleocene,56,66,#FDA75F,Paleogene,23.03,66,#FD9A52,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
23,Selandian,59.2,61.6,#FEBF65,Paleocene,56,66,#FDA75F,Paleogene,23.03,66,#FD9A52,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
24,Danian,61.6,66,#FDB462,Paleocene,56,66,#FDA75F,Paleogene,23.03,66,#FD9A52,Cenozoic,#F2F91D,Phanerozoic,#9AD9DD
25,Maastrichtian,66,72.1,#F2FA8C,Late Cretaceous,66,100.5,#A6D84A,Cretaceous,66,145,#7FC64E,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
26,Campanian,72.1,83.6,#E6F47F,Late Cretaceous,66,100.5,#A6D84A,Cretaceous,66,145,#7FC64E,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
27,Santonian,83.6,86.3,#D9EF74,Late Cretaceous,66,100.5,#A6D84A,Cretaceous,66,145,#7FC64E,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
28,Coniacian,86.3,89.8,#CCE968,Late Cretaceous,66,100.5,#A6D84A,Cretaceous,66,145,#7FC64E,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
29,Turonian,89.8,93.9,#BFE35D,Late Cretaceous,66,100.5,#A6D84A,Cretaceous,66,145,#7FC64E,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
30,Cenomanian,93.9,100.5,#B3DE53,Late Cretaceous,66,100.5,#A6D84A,Cretaceous,66,145,#7FC64E,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
31,Albian,100.5,113,#CCEA97,Early Cretaceous,100.5,145,#8CCD57,Cretaceous,66,145,#7FC64E,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
32,Aptian,113,125,#BFE48A,Early Cretaceous,100.5,145,#8CCD57,Cretaceous,66,145,#7FC64E,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
33,Barremian,125,129.4,#B3DF7F,Early Cretaceous,100.5,145,#8CCD57,Cretaceous,66,145,#7FC64E,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
34,Hauterivian,129.4,132.9,#A6D975,Early Cretaceous,100.5,145,#8CCD57,Cretaceous,66,145,#7FC64E,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
35,Valanginian,132.9,139.8,#99D36A,Early Cretaceous,100.5,145,#8CCD57,Cretaceous,66,145,#7FC64E,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
36,Berriasian,139.8,145,#8CCD60,Early Cretaceous,100.5,145,#8CCD57,Cretaceous,66,145,#7FC64E,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
37,Tithonian,145,152.1,#D9F1F7,Late Jurassic,145,163.5,#B3E3EE,Jurassic,145,201.3,#34B2C9,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
38,Kimmeridgian,152.1,157.3,#CCECF4,Late Jurassic,145,163.5,#B3E3EE,Jurassic,145,201.3,#34B2C9,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
39,Oxfordian,157.3,163.5,#BFE7F1,Late Jurassic,145,163.5,#B3E3EE,Jurassic,145,201.3,#34B2C9,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
40,Callovian,163.5,166.1,#BFE7E5,Middle Jurassic,163.5,174.1,#80CFD8,Jurassic,145,201.3,#34B2C9,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
41,Bathonian,166.1,168.3,#B3E2E3,Middle Jurassic,163.5,174.1,#80CFD8,Jurassic,145,201.3,#34B2C9,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
42,Bajocian,168.3,170.3,#A6DDE0,Middle Jurassic,163.5,174.1,#80CFD8,Jurassic,145,201.3,#34B2C9,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
43,Aalenian,170.3,174.1,#9AD9DD,Middle Jurassic,163.5,174.1,#80CFD8,Jurassic,145,201.3,#34B2C9,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
44,Toarcian,174.1,182.7,#99CEE3,Early Jurassic,174.1,201.3,#42AED0,Jurassic,145,201.3,#34B2C9,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
45,Pliensbachian,182.7,190.8,#80C5DD,Early Jurassic,174.1,201.3,#42AED0,Jurassic,145,201.3,#34B2C9,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
46,Sinemurian,190.8,199.3,#67BCD8,Early Jurassic,174.1,201.3,#42AED0,Jurassic,145,201.3,#34B2C9,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
47,Hettangian,199.3,201.3,#4EB3D3,Early Jurassic,174.1,201.3,#42AED0,Jurassic,145,201.3,#34B2C9,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
48,Rhaetian,201.3,208.5,#E3B9DB,Late Triassic,201.3,237,#BD8CC3,Triassic,201.3,251.902,#812B92,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
49,Norian,208.5,227,#D6AAD3,Late Triassic,201.3,237,#BD8CC3,Triassic,201.3,251.902,#812B92,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
50,Carnian,227,237,#C99BCB,Late Triassic,201.3,237,#BD8CC3,Triassic,201.3,251.902,#812B92,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
51,Ladinian,237,242,#C983BF,Middle Triassic,237,247.2,#B168B1,Triassic,201.3,251.902,#812B92,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
52,Anisian,242,247.2,#BC75B7,Middle Triassic,237,247.2,#B168B1,Triassic,201.3,251.902,#812B92,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
53,Olenekian,247.2,251.2,#B051A5,Early Triassic,247.2,251.902,#983999,Triassic,201.3,251.902,#812B92,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
54,Induan,251.2,251.902,#A4469F,Early Triassic,247.2,251.902,#983999,Triassic,201.3,251.902,#812B92,Mesozoic,#67C5CA,Phanerozoic,#9AD9DD
55,Changhsingian,251.902,254.14,#FCC0B2,Lopingian,251.902,259.1,#FBA794,Permian,251.902,298.9,#F04028,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
56,Wuchiapingian,254.14,259.1,#FCB4A2,Lopingian,251.902,259.1,#FBA794,Permian,251.902,298.9,#F04028,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
57,Capitanian,259.1,265.1,#FB9A85,Guadalupian,259.1,272.95,#FB745C,Permian,251.902,298.9,#F04028,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
58,Wordian,265.1,268.8,#FB8D76,Guadalupian,259.1,272.95,#FB745C,Permian,251.902,298.9,#F04028,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
59,Roadian,268.8,272.95,#FB8069,Guadalupian,259.1,272.95,#FB745C,Permian,251.902,298.9,#F04028,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
60,Kungurian,272.95,283.5,#E38776,Cisuralian,272.95,298.9,#EF5845,Permian,251.902,298.9,#F04028,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
61,Artinskian,283.5,290.1,#E37B68,Cisuralian,272.95,298.9,#EF5845,Permian,251.902,298.9,#F04028,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
62,Sakmarian,290.1,295,#E36F5C,Cisuralian,272.95,298.9,#EF5845,Permian,251.902,298.9,#F04028,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
63,Asselian,295,298.9,#E36350,Cisuralian,272.95,298.9,#EF5845,Permian,251.902,298.9,#F04028,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
64,Gzhelian,298.9,303.7,#CCD4C7,Pennsylvanian,298.9,323.2,#99C2B5,Carboniferous,298.9,358.9,#67A599,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
65,Kasimovian,303.7,307,#BFD0C5,Pennsylvanian,298.9,323.2,#99C2B5,Carboniferous,298.9,358.9,#67A599,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
66,Moscovian,307,315.2,#C7CBB9,Pennsylvanian,298.9,323.2,#99C2B5,Carboniferous,298.9,358.9,#67A599,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
67,Bashkirian,315.2,323.2,#99C2B5,Pennsylvanian,298.9,323.2,#99C2B5,Carboniferous,298.9,358.9,#67A599,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
68,Serpukhovian,323.2,330.9,#BFC26B,Mississippian,323.2,358.9,#678F66,Carboniferous,298.9,358.9,#67A599,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
69,Visean,330.9,346.7,#A6B96C,Mississippian,323.2,358.9,#678F66,Carboniferous,298.9,358.9,#67A599,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
70,Tournaisian,346.7,358.9,#8CB06C,Mississippian,323.2,358.9,#678F66,Carboniferous,298.9,358.9,#67A599,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
71,Famennian,358.9,372.2,#F2EDC5,Late Devonian,358.9,382.7,#F1E19D,Devonian,358.9,419.2,#CB8C37,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
72,Frasnian,372.2,382.7,#F2EDAD,Late Devonian,358.9,382.7,#F1E19D,Devonian,358.9,419.2,#CB8C37,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
73,Givetian,382.7,387.7,#F1E185,Middle Devonian,382.7,393.3,#F1C868,Devonian,358.9,419.2,#CB8C37,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
74,Eifelian,387.7,393.3,#F1D576,Middle Devonian,382.7,393.3,#F1C868,Devonian,358.9,419.2,#CB8C37,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
75,Emsian,393.3,407.6,#E5D075,Early Devonian,393.3,419.2,#E5AC4D,Devonian,358.9,419.2,#CB8C37,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
76,Pragian,407.6,410.8,#E5C468,Early Devonian,393.3,419.2,#E5AC4D,Devonian,358.9,419.2,#CB8C37,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
77,Lochkovian,410.8,419.2,#E5B75A,Early Devonian,393.3,419.2,#E5AC4D,Devonian,358.9,419.2,#CB8C37,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
78,Pridoli,419.2,423,#E6F5E1,Ludlow,423,427.4,#BFE6CF,Silurian,419.2,443.8,#B3E1B6,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
79,Ludfordian,423,425.6,#D9F0DF,Ludlow,423,427.4,#BFE6CF,Silurian,419.2,443.8,#B3E1B6,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
80,Gorstian,425.6,427.4,#CCECDD,Ludlow,423,427.4,#BFE6CF,Silurian,419.2,443.8,#B3E1B6,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
81,Homerian,427.4,430.5,#CCEBD1,Wenlock,427.4,433.4,#B3E1C2,Silurian,419.2,443.8,#B3E1B6,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
82,Sheinwoodian,430.5,433.4,#BFE6C3,Wenlock,427.4,433.4,#B3E1C2,Silurian,419.2,443.8,#B3E1B6,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
83,Telychian,433.4,438.5,#BFE6CF,Llandovery,433.4,443.8,#99D7B3,Silurian,419.2,443.8,#B3E1B6,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
84,Aeronian,438.5,440.8,#B3E1C2,Llandovery,433.4,443.8,#99D7B3,Silurian,419.2,443.8,#B3E1B6,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
85,Rhuddanian,440.8,443.8,#A6DCB5,Llandovery,433.4,443.8,#99D7B3,Silurian,419.2,443.8,#B3E1B6,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
86,Hirnantian,443.8,445.2,#A6DBAB,Late Ordovician,443.8,458.4,#7FCA93,Ordovician,443.8,485.4,#009270,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
87,Katian,445.2,453,#99D69F,Late Ordovician,443.8,458.4,#7FCA93,Ordovician,443.8,485.4,#009270,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
88,Sandbian,453,458.4,#8CD094,Late Ordovician,443.8,458.4,#7FCA93,Ordovician,443.8,485.4,#009270,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
89,Darriwilian,458.4,467.3,#74C69C,Middle Ordovician,458.4,470,#4DB47E,Ordovician,443.8,485.4,#009270,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
90,Dapingian,467.3,470,#66C092,Middle Ordovician,458.4,470,#4DB47E,Ordovician,443.8,485.4,#009270,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
91,Floian,470,477.7,#41B087,Early Ordovician,470,485.4,#1A9D6F,Ordovician,443.8,485.4,#009270,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
92,Tremadocian,477.7,485.4,#33A97E,Early Ordovician,470,485.4,#1A9D6F,Ordovician,443.8,485.4,#009270,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
93,Stage 10,485.4,489.5,#E6F5C9,Furongian,485.4,497,#B3E095,Cambrian,485.4,541,#7FA056,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
94,Jiangshanian,489.5,494,#D9F0BB,Furongian,485.4,497,#B3E095,Cambrian,485.4,541,#7FA056,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
95,Paibian,494,497,#CCEBAE,Furongian,485.4,497,#B3E095,Cambrian,485.4,541,#7FA056,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
96,Guzhangian,497,500.5,#CCDFAA,Miaolingian,497,509,#A6CF86,Cambrian,485.4,541,#7FA056,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
97,Drumian,500.5,504.5,#BFD99D,Miaolingian,497,509,#A6CF86,Cambrian,485.4,541,#7FA056,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
98,Wuliuan,504.5,509,#B3D492,Miaolingian,497,509,#A6CF86,Cambrian,485.4,541,#7FA056,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
99,Stage 4,509,514,#B3CA8E,Series 2,509,521,#99C078,Cambrian,485.4,541,#7FA056,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
100,Stage 3,514,521,#A6C583,Series 2,509,521,#99C078,Cambrian,485.4,541,#7FA056,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
101,Stage 2,521,529,#A6BA80,Terreneuvian,521,541,#8CB06C,Cambrian,485.4,541,#7FA056,Paleozoic,#99C08D,Phanerozoic,#9AD9DD
102,Fortunian,529,541,#99B575,Terreneuvian,521,541,#8CB06C,Cambrian,485.4,541,#7FA056,Paleozoic,#99C08D,Proterozoic,#FF70B8
103,NA,541,635,NA,NA,541,635,NA,Ediacaran,541,635,#FFC3E1,Neoproterozoic,#FF9BCD,Proterozoic,#FF70B8
104,NA,635,720,NA,NA,635,720,NA,Cryogenian,635,720,#FFAFD7,Neoproterozoic,#FF9BCD,Proterozoic,#FF70B8
105,NA,720,1000,NA,NA,720,1000,NA,Tonian,720,1000,#FFA5D2,Neoproterozoic,#FF9BCD,Proterozoic,#FF70B8
106,NA,1000,1200,NA,NA,1000,1200,NA,Stenian,1000,1200,#FFA5D2,Mesoproterozoic,#FF7EBF,Proterozoic,#FF70B8
107,NA,1200,1400,NA,NA,1200,1400,NA,Ectasian,1200,1400,#FF98CC,Mesoproterozoic,#FF7EBF,Proterozoic,#FF70B8
108,NA,1400,1600,NA,NA,1400,1600,NA,Calymmian,1400,1600,#FF8BC5,Mesoproterozoic,#FF7EBF,Proterozoic,#FF70B8
109,NA,1600,1800,NA,NA,1600,1800,NA,Statherian,1600,1800,#EE93C1,Paleoproterozoic,#E665A6,Proterozoic,#FF70B8
110,NA,1800,2050,NA,NA,1800,2050,NA,Orosirian,1800,2050,#E874AF,Paleoproterozoic,#E665A6,Proterozoic,#FF70B8
111,NA,2050,2300,NA,NA,2050,2300,NA,Rhyacian,2050,2300,#EB84B8,Paleoproterozoic,#E665A6,Proterozoic,#FF70B8
112,NA,2300,2500,NA,NA,2300,2500,NA,Siderian,2300,2500,#E874AF,Paleoproterozoic,#E665A6,Proterozoic,#FF70B8
113,NA,2500,2800,NA,NA,2500,2800,NA,NA,2500,2800,NA,Neoarchean,#FF5CAD,Archean,#FF3399
114,NA,2800,3200,NA,NA,2800,3200,NA,NA,2800,3200,NA,Mesoarchean,#E62E8A,Archean,#FF3399
115,NA,3200,3600,NA,NA,3200,3600,NA,NA,3200,3600,NA,Paleoarchean,#CC297A,Archean,#FF3399
116,NA,3600,4000,NA,NA,3600,4000,NA,NA,3600,4000,NA,Eoarchean,#B2246B,Archean,#FF3399
117,NA,4000,4600,NA,NA,4000,4600,NA,NA,4000,4600,NA,NA,NA,Hadean,NA
